bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
quantcast,Quantcast,yes,yes,no,check with bidder,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,quantcastBidAdapter
quantum,Quantum,yes,no,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,quantumBidAdapter
quantumdex,Quantumdex,yes,yes,no,yes,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,yes,yes,check with bidder,no,check with bidder,check with bidder,apacdex,apacdexBidAdapter
qwarry,Qwarry,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,qwarryBidAdapter
r2b2,r2b2,yes,no,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,no,yes,no,none,check with bidder,yes,no,no,check with bidder,"will-not-bid",,r2b2BidAdapter
rads,Rads,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,uid2  netId,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,radsBidAdapter
rakuten,Rakuten,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,rakutenBidAdapter
ras,RingierAxelSpringer,yes,no,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,no,none,check with bidder,no,no,no,check with bidder,"will-bid-on-one",,rasBidAdapter
readpeak,Readpeak,yes,no,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,yes,none,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,readpeakBidAdapter
rediads,Rediads,yes,yes,yes,yes,no,no,no,check with bidder,yes,check with bidder,no,yes,yes,none,check with bidder,yes,yes,no,partial,"will-bid-on-one",,rediadsBidAdapter
redtram,Redtram,yes,no,no,no,no,no,no,check with bidder,no,check with bidder,no,yes,no,none,check with bidder,yes,no,no,no,"will-bid-on-one",,redtramBidAdapter
relaido,Relaido,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,imuid,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,relaidoBidAdapter
relay,Relay,yes,yes,yes,yes,no,no,yes,check with bidder,no,yes,yes,yes,no,none,yes,yes,yes,no,partial,"will-bid-any",,relayBidAdapter
